timestamp,msg_type,time,latitude,longitude,altitude,fix,satellites,fix_state,age_of_correction,course_over_ground_degrees,course_over_ground_degrees_magnetic,speed_kmh,mode,position_diluition_precision,horizontal_diluition_precision,vertical_diluition_precision,heading_valid,heading_vehicle,heading_motion,heading_accuracy_estimate,speed_accuracy,
1648476971.439939976,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.440433979,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.487766981,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.056000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.488261938,GGA,141611.45,46.260258500,11.187949500,244.300000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.488743067,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.489202976,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.489744902,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.537667036,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.069000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.538176060,GGA,141611.50,46.260258500,11.187949600,244.300000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.538650990,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.539268017,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
